Game,MoveNumber,Move,TimeRemaining,EvalAfter,EvalChange,PlayerColor
1.0,196.0,Rxe5,0:00:27,-5.21,-5.2,Black
1.0,198.0,Rxg2,0:00:18,-4.54,0.6699999999999999,Black
1.0,200.0,Bxg2+,0:00:12,-5.31,-0.7699999999999996,Black
1.0,202.0,Qxd7+,0:00:04,-7.34,-2.0300000000000002,Black
1.0,204.0,Rxg2,0:00:03,-6.53,0.8099999999999996,Black
1.0,206.0,Qd5+,0:00:07,0.0,6.53,Black
1.0,208.0,Qc7+,0:00:06,-0.06,-0.06,Black
,,,,,,
2.0,2.0,e6,0:03:00,0.25,,Black
2.0,4.0,d5,0:03:00,0.29,0.03999999999999998,Black
2.0,6.0,exd5,0:02:57,0.19,-0.09999999999999998,Black
2.0,8.0,c6,0:02:56,0.11,-0.08,Black
2.0,10.0,Nf6,0:02:56,0.07,-0.039999999999999994,Black
2.0,12.0,Be7,0:02:56,0.06,-0.010000000000000009,Black
2.0,14.0,O-O,0:02:56,0.3,0.24,Black
2.0,16.0,Re8,0:02:56,0.45,0.15000000000000002,Black
2.0,18.0,Bg4,0:02:54,0.39,-0.06,Black
2.0,20.0,Nbd7,0:02:49,0.02,-0.37,Black
2.0,22.0,Bh5,0:02:48,0.05,0.030000000000000002,Black
2.0,24.0,Nxe5,0:02:44,5.08,5.03,Black
2.0,26.0,Bxf7+,0:02:39,6.27,1.1899999999999995,Black
2.0,28.0,Bxe8,0:02:33,6.23,-0.03999999999999915,Black
2.0,30.0,Qc2,0:02:25,5.87,-0.3600000000000003,Black
2.0,32.0,a4,0:02:20,5.76,-0.11000000000000032,Black
2.0,34.0,Rab1,0:02:17,5.6,-0.16000000000000014,Black
2.0,36.0,Na2,0:02:08,5.51,-0.08999999999999986,Black
2.0,38.0,Nd3,0:02:02,5.04,-0.46999999999999975,Black
2.0,40.0,b4,0:01:58,5.96,0.9199999999999999,Black
2.0,42.0,Naxb4,0:01:57,5.88,-0.08000000000000007,Black
2.0,44.0,Qb3,0:01:49,6.04,0.16000000000000014,Black
2.0,46.0,Rfd1,0:01:42,5.8,-0.2400000000000002,Black
2.0,48.0,Nc2,0:01:32,5.45,-0.34999999999999964,Black
2.0,50.0,Qxb7,0:01:28,6.33,0.8799999999999999,Black
2.0,52.0,Qxe7,0:01:42,5.47,-0.8600000000000003,Black
2.0,54.0,Nf6,0:01:35,5.94,0.47000000000000064,Black
2.0,56.0,Nh5,0:01:31,6.02,0.07999999999999918,Black
2.0,58.0,Ng5,0:01:29,6.38,0.3600000000000003,Black
2.0,60.0,Nf6,0:01:19,5.3,-1.08,Black
2.0,62.0,Qa4,0:01:17,6.81,1.5099999999999998,Black
2.0,64.0,Qa6,0:01:15,5.68,-1.13,Black
2.0,66.0,Qc8,0:00:50,9.28,3.5999999999999996,Black
2.0,68.0,c5,0:03:00,0.25,-9.03,Black
